name,nickname,country,team,position,age,games_played,time_played,goals,goal_assists,headed_goals,left_foot_goals,right_foot_goals,penalties_taken,penalty_goals,penalties_faced,penalties_saved,total_saves,total_passes,Total_successful_passes,total_unsuccessful_passes,unsuccessful_dribbles,successful_dribbles,clean_sheets,total_shots,tackles_lost,tackles_won,yellow_cards,total_red_cards
Daniel Rebollo,D. Rebollo,ES,Real Betis,Goalkeeper,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diego Lainez,Diego Lainez,MX,Real Betis,Midfielder,22,7,135,0,0,0,0,0,0,0,0,0,0,153,129,24,3,6,0,1,0,1,0,0
Edgar GonzÃ¡lez,Edgar,ES,Real Betis,Midfielder,25,21,1457,1,1,0,0,1,0,0,0,0,0,2590,2373,217,0,4,4,5,6,19,6,0
Francisco Delgado,F. Delgado,ES,Real Betis,Defender,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GermÃ¡n Pezzella,Pezzella,AR,Real Betis,Defender,31,23,1991,1,0,1,0,0,0,0,0,0,0,2907,2649,258,0,3,8,17,12,9,5,1
Guido RodrÃ­guez,G. Rodriguez,AR,Real Betis,Midfielder,28,32,2533,1,2,1,0,0,0,0,0,0,0,4096,3675,421,9,18,9,13,44,53,7,1
HÃ©ctor BellerÃ­n,Bellerin,ES,Real Betis,Defender,27,23,1979,0,2,0,0,0,0,0,0,0,0,2307,1913,394,20,22,8,6,20,32,2,1
JoaquÃ­n SÃ¡nchez RodrÃ­guez,JoaquÃ­n,ES,Real Betis,Forward,41,21,455,0,1,0,0,0,0,0,0,0,0,686,590,96,13,17,0,7,4,2,0,0
Joel Robles,Joel Robles,ES,Real Betis,Goalkeeper,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan Miranda,Miranda,ES,Real Betis,Defender,22,13,782,0,2,0,0,0,0,0,0,0,0,1102,917,185,5,4,3,5,10,11,3,0
Juan Miguel JimÃ©nez LÃ³pez,Juanmi,ES,Real Betis,Forward,29,33,2145,16,4,3,3,10,0,0,0,0,0,1336,1123,213,15,29,1,47,14,25,5,0
Enrique GÃ³mez Hermoso,K. Hermoso,ES,Real Betis,Midfielder,23,1,90,1,0,0,0,1,0,0,0,0,0,169,149,20,0,1,0,2,1,1,0,0
Marc Bartra,Bartra,ES,Real Betis,Defender,31,23,1994,1,0,0,0,0,0,0,0,0,0,3136,2742,394,1,7,8,14,25,14,5,0
MartÃ­n Montoya,Montoya,ES,Real Betis,Defender,31,6,519,0,1,0,0,0,0,0,0,0,0,760,656,104,1,0,0,4,8,12,2,0
Nabil Fekir,Fekir,FR,Real Betis,Forward,29,34,2807,6,8,0,5,1,0,0,0,0,0,3859,3388,471,41,82,2,55,14,29,7,1
Paul Akouokou,Paul,CI,Real Betis,Midfielder,24,8,517,0,0,0,0,0,0,0,0,0,0,926,846,80,2,6,2,2,5,9,2,1
RaÃºl GarcÃ­a,Raul,ES,Real Betis,Forward,22,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
Rodrigo SÃ¡nchez,Rodri,ES,Real Betis,Midfielder,22,21,880,1,2,0,1,0,0,0,0,0,0,1147,1000,147,10,16,0,13,3,7,0,0
Rui Tiago Dantas da Silva,Rui Silva,PT,Real Betis,Goalkeeper,28,22,1963,0,0,0,0,0,0,0,2,0,55,1497,1081,416,0,0,8,0,1,0,2,0
Sergio Canales,Canales,ES,Real Betis,Midfielder,31,34,2803,5,7,0,5,0,0,0,0,0,0,5118,4530,588,28,29,6,40,10,14,7,0
VÃ­ctor Camarasa,Camarasa,ES,Real Betis,Midfielder,28,7,102,0,0,0,0,0,0,0,0,0,0,141,123,18,1,0,0,1,1,1,0,0
VÃ­ctor Ruiz,Victor Ruiz,ES,Real Betis,Defender,33,18,1425,0,0,0,0,0,0,0,0,0,0,2527,2295,232,1,1,4,5,2,9,2,0
William Silva de Carvalho,William,PT,Real Betis,Midfielder,30,33,1803,2,3,0,1,1,0,0,0,0,0,3760,3443,317,22,48,3,21,16,33,6,0
Willian JosÃ© Da Silva,Willian J.,BR,Real Betis,Forward,30,32,1610,8,4,0,3,5,3,3,0,0,0,1446,1211,235,10,6,1,24,2,13,1,0
Youssouf Sabaly,Sabaly,SN,Real Betis,Defender,29,10,789,0,1,0,0,0,0,0,0,0,0,1178,1037,141,7,6,4,4,2,10,1,0
Alexandre Moreno Lopera,Alex Moreno,ES,Real Betis,Forward,29,30,2407,5,3,1,2,2,0,0,0,0,0,2960,2391,569,38,23,7,19,36,40,3,1
Andrii Lunin,Lunin,UA,Real Madrid,Goalkeeper,23,2,180,0,0,0,0,0,0,0,2,1,7,171,151,20,0,0,0,0,0,0,0,0
Antonio Blanco,Blanco,ES,Real Madrid,Midfielder,22,1,30,0,0,0,0,0,0,0,0,0,0,58,54,4,0,1,0,0,2,0,0,0
Carlos Henrique Casimiro,Casemiro,BR,Real Madrid,Midfielder,30,32,2575,1,3,1,0,0,0,0,0,0,0,5581,5020,561,8,19,8,28,28,51,11,0
Dani Ceballos,D. Ceballos,ES,Real Madrid,Midfielder,26,11,267,0,0,0,0,0,0,0,0,0,0,756,713,43,6,5,1,6,2,5,1,0
Daniel Carvajal,Carvajal,ES,Real Madrid,Defender,30,24,1549,1,3,0,0,1,0,0,0,0,0,2919,2634,285,8,10,6,8,15,28,1,0
David Alaba,Alaba,AT,Real Madrid,Defender,30,30,2644,2,3,0,2,0,0,0,0,0,0,5533,5221,312,6,4,11,14,10,13,2,0
